| time |reset|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       0 |       0 |       0 |
| 1    |  0  |       0 |       0 |       0 |
| 2    |  0  |       0 |       0 |       2 |
| 3    |  0  |       0 |       0 |       2 |
| 4    |  0  |       0 |       0 |       2 |
| 5    |  0  |       0 |       0 |       2 |
| 6    |  0  |       5 |       0 |       2 |
| 7    |  1  |       0 |       0 |       2 |
| 8    |  0  |       0 |       0 |       2 |
| 9    |  0  |       0 |       0 |       2 |
